Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Learning School""",4.0,,,,,," Jan 31, 2016",Current,Anonymous Employee,,No,No,Neutral,Full-time,,- Amazing culture<br>- Good perks/free food<br>- Develop industry knowledge,- Outdated products<br>- Wages lower than industry peers,
"""washed up...""",1.0,2.0,1.0,2.0,2.0,1.0," Feb 27, 2016",Past,Engineer,,No,No,Neutral,Full-time,More than 5 years,Would have given more stars in the past.<br>Headquarters office has nice weather most of the time.<br>There is more parking there now (fewer people coming to park).<br>A pretty good entry point to tech / ops / Internet industry.,"International strategy was poor.<br>Unable to give high star ratings in the last 4 years.<br>Not able to provide sufficient support for international product needs. Too U.S. centric, and that has been a losing battle for years.<br>Acquisitions have not panned out.<br>Significant breach of ethics transpired. (Even with H.R. knowledge - this was the biggest shock).",
"""Sr. Production Engineer""",4.0,,,,,," Jan 23, 2016",Current,Anonymous Employee,,Yes,Neutral,Neutral,,More than 5 years,Provide free food and drinks.,bosses are behind the market,
"""Good on CV, do not stay long like I did""",3.0,3.0,2.0,2.0,3.0,1.0," Feb 3, 2016",Past,Categorization Manager,"London, England (UK)",No,No,Neutral,Full-time,More than a year,Great technology (especially for techies)<br>You'll learn a lot<br>Generally lovely people<br>Looks good on CV,"Problems at higher levels of management<br>No job security<br>Irrelevant products, tired brand<br>Especially bleak outlook for non-techie roles",Sell it off - nothing remains anyway of the good old iconic Yahoo post Marissa...
"""Yahoo Sales Account Manager""",4.0,4.0,4.0,4.0,5.0,4.0," Jan 21, 2016",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,"Nice office, nice team, nice pay, free food, flexible hours, recognition.",Not possible to be promoted in the BCN office,
"""Good perks. Company lacking solid strategy""",4.0,3.0,5.0,2.0,5.0,1.0," Jan 21, 2016",Current,Advertising,"Dublin, Co. Dublin (Ireland)",Yes,Yes,Neutral,,Less than a year,"Excellent perks- healthcare, food, gym, bonuses, snacks, paternity leave, phone, laptop.<br><br>Great people, great managers. Training given is excellent.","Overall the strategy of the company is fractured.<br><br>Career progression is not something thats talked about much, some roles seem very pigeon holed. It is getting better as of late.",More focus on building useful products.
"""Big Data Analytics""",4.0,,,,,," Jan 12, 2016",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,Lot of Opportunites Big Data Analytics Datawarehouse,Sales Team polictics particions change,Focused Sales Team
"""Great place to work""",4.0,4.0,4.0,4.0,4.0,4.0," Jan 12, 2016",Current,Anonymous Employee,,No,No,Neutral,Full-time,More than a year,Opportunity to work on the latest technologies<br>Flexibility<br>Good Learning Curve<br>Awesome benefits and employee care,QPR and Layoff Rumours add to the stress levels,"Keep the focus, we are on the right track to evolve ourselves"
"""Ruined our company.""",1.0,2.0,1.0,1.0,3.0,1.0," Feb 12, 2016",Past,Marketing Manager,Sydney (Australia),Yes,Neutral,Yes,Full-time,More than 3 years,None whatsoever. A terrible place to work.,Brutal place to work. Focused on managing up.<br><br>The business structure of the company will never allow it to succeed.<br><br>Brutal culture against women.<br><br>3 women made redundant during their maternity leaves.,Find other jobs.
"""Software""",4.0,5.0,4.0,3.0,5.0,3.0," Jan 11, 2016",Current,Anonymous Employee,Pune (India),Yes,Neutral,Neutral,,More than 5 years,Nice environment You will be given whatever u ask for.They will spoil you,Too much interference of seniors and they ask you to follow their ideas .,none
"""great environment, great perks""",5.0,4.0,5.0,4.0,5.0,3.0," Jan 9, 2016",Past,Anonymous Employee,Jakarta (Indonesia),Yes,No,Neutral,Full-time,More than 5 years,"worked with some of industry's finest talent. have a lot of perks (work gadgets, free lunch and snacks, generous team bonding budget)","high level management seems to be lost, dont know what to do to turn around company's condition.",
"""Director Finance""",3.0,3.0,4.0,3.0,4.0,3.0," Jan 7, 2016",Past,Anonymous Employee,"Dublin, Co. Dublin (Ireland)",Yes,Neutral,Neutral,,More than a year,really smart people<br>Great project management teams &amp; IT teams,Change management<br>Bonus process<br>turnover,
"""good work environment.""",3.0,3.0,5.0,2.0,2.0,2.0," Jan 7, 2016",Past,Analyst,Bengaluru (India),Yes,Yes,Yes,Full-time,,Good environment. Good for singles. Ratings can matter depending on boss. Though system looks flexible boss need not be flexible.,Had layoffs now and then,Bosses need not follow management set ideas. Even if they may flexible for an employee depending on boss's ideas employee can be low rated and layoffs of all have not been worked on ratings. Ratings are adjust to layoff.
"""Creative workplace""",4.0,5.0,5.0,4.0,5.0,5.0," Dec 21, 2015",Past,Anonymous Employee,Taipei (Taiwan),Yes,Neutral,Neutral,Full-time,,"Great folks, smart people, awesome benefits than you could imagine!",constant reorg and layoffs. Need to be prepared you will be terminated anytime.,Politics.
"""Associate manager""",4.0,4.0,4.0,4.0,4.0,4.0," Dec 15, 2015",Past,Associate Manager,Taipei (Taiwan),Yes,Yes,Yes,,More than 3 years,Good working environment and benefit etc.,Not specific. Maybe the performance review system can improve better and fair.,
"""Product Manager""",4.0,4.0,4.0,4.0,5.0,3.0," Dec 14, 2015",Past,Anonymous Employee,,Yes,No,Neutral,Full-time,,- good compensation<br>- good working environment,- things moved a little slow,
"""Great place for personal growth and technology knowledge""",3.0,4.0,4.0,2.0,3.0,2.0," Dec 28, 2015",Current,Global Partnerships Manager,Singapore (Singapore),Yes,Yes,Yes,Full-time,More than 5 years,"A great company with a vast amount of technology knowledge. Good to start your career as it is the best place to build your resume as well as helpful colleagues. Work life balance is up to you. Free phone, laptop and food as well as great benefits like 40-days paternity leave and gifts for all occasions.","Leadership and direction is lacking. Lack of clarity from global management can be frustrating. As this is a global company, expect to get midnight or early morning conference calls.",Be bold to challenge the norm and make changes so that things will work for the company.
"""Great Company but needs shredded""",5.0,5.0,5.0,4.0,5.0,2.0," Dec 7, 2015",Past,Media Sales Executive,"London, England (UK)",Yes,Neutral,Neutral,Full-time,More than a year,"Learning/Education is great, so many products.",The company is simply too large and needs to cut a lot of waste,Be firm and make the tough decisions
"""A great company""",5.0,4.0,5.0,5.0,5.0,5.0," Dec 1, 2015",Current,Head of Insights & Data Analytic,Taipei (Taiwan),Yes,Neutral,Neutral,Full-time,More than 5 years,Open and friendly culture<br>Good compensation and fringe benefits,A very fast changing industry,
"""Awesome Perks But A Bit Too Money Centric""",3.0,3.0,3.0,3.0,5.0,3.0," Dec 7, 2015",Past,ECommerce Specialist,Taipei (Taiwan),Yes,Yes,Yes,Full-time,More than a year,"Great benefits including free food at all hours, free phones and laptops, occasional filed trips and parties plus your phone bills are paid. Love the fun and colourful office decor. Yahoo pretty much thought of everything an employee would need to be happy about a workplace on a physical level.","Perhaps it's because I worked at Yahoo Taiwan, I found the people overly money centric about how they would cut you out next quarter if you don't meet the goal. I understand to overestimate an expected goal is to motivate the employee but when the goal becomes unrealistic, then we have a problem. Also, the coworkers at Yahoo Taiwan don't really interact with one another. Everyone sort of just minded their own business and you wouldn't know whether the person next to you simply had a sick day or quit for good. Walking into the office was like stepping into the library's silent zone. Wasn't the Yahoo I imagined at all.",
"""Senior Engineer""",5.0,5.0,5.0,5.0,5.0,4.0," Nov 22, 2015",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,"It offers good salary, employee welfare, and has chances to promote something new because it focus on mobile now.","Compared with some companies, it might be later to join mobile business.",
"""Sales Role""",3.0,3.0,4.0,3.0,4.0,2.0," Dec 6, 2015",Past,Anonymous Employee,Apac (Uganda),No,Neutral,Neutral,Full-time,,"Good Employee Perks, stock units, full array of products for advertisers.","Little power to change product direction. All too often, money making units are removed as a result of global alighment. Power are all centerised on CEO.","Allow more regional voices, allow products to be controlled by regions"
"""Campaign Manager""",2.0,2.0,3.0,1.0,1.0,1.0," Nov 8, 2015",Current,Display Campaign Manager,"Dublin, Co. Dublin (Ireland)",No,No,Neutral,Full-time,More than a year,"Free Food, nice people, free mobile,nice office","Tools never work, too many bugs, workflows are too complex, bureaucracy everywhere, everybody leaving, insane workload, firing people when more people needs to be hired, exhausting to work here",
"""I would recommend""",5.0,1.0,4.0,4.0,5.0,3.0," Oct 28, 2015",Past,Account Manager,"London, England (UK)",Yes,Yes,Yes,,More than 3 years,"Its a great place to work, all the usual tech benefits that are trendy these days. Lots of optional to attend company events. Lots of development tools available to staff which can help within and outwith the company.",One of the pros was some clever people work here but there are also people who are iin positions they really shouldn't be. Technical teams and sales are often not on the same page.,
"""Awesome work environment and perks""",5.0,5.0,5.0,4.0,3.0,5.0," Oct 29, 2015",Current,Anonymous Employee,Bengaluru (India),Yes,Yes,Yes,Full-time,,Amazing benefits and perks. Great work environment,Should focus more on increasing hike,
"""Excellent large scale tech company""",4.0,3.0,4.0,4.0,4.0,2.0," Oct 27, 2015",Current,Principal Research Engineer,"London, England (UK)",Yes,No,Neutral,Full-time,More than a year,Get to work at huge scale with some excellent colleagues,Its struggling which means there's a lot of pressure,
"""Growing, but not fast enough""",3.0,4.0,4.0,2.0,3.0,2.0," Nov 3, 2015",Current,Partner Manager,Singapore (Singapore),Yes,Neutral,Yes,Full-time,More than 3 years,- Good work life balance and good working environment<br>- Amazing co-workers who knows how to work and play hard<br>- Free food,- Seriously lack of innovative products to steer interest among existing and new users.<br>- Company's focus keep changing which impacts employees morale who had already put in a lot of effort in an ongoing project.,"Be clear on the direction of the company. Invest in innovative products. We have to first capture users attention, and revenue will follow."
"""operations manager""",4.0,3.0,4.0,4.0,3.0,4.0," Oct 20, 2015",Current,Operations Manager,Bengaluru (India),Yes,Neutral,Neutral,Full-time,More than 3 years,got very good exposure &amp; experienece regards to businness operations as I was deployed in a clients place which was in to import &amp; export,it took some time to stream line the business as we had too act as mediators due to deployment in client place,my advice to the management is to think &amp; grow business as good as a corporate i s run
"""Salary issues""",2.0,2.0,3.0,1.0,2.0,," Oct 30, 2015",Current,Search Editor,Bengaluru (India),No,No,Yes,Full-time,More than a year,Excellent work environment and inclusive management,poor salary package and no effort from the team managers or HR to make an effort to give a proper hike to the employees. A layoff process twice a year is high probability,
"""Learnt a lot!""",3.0,3.0,4.0,2.0,2.0,2.0," Oct 23, 2015",Past,Anonymous Employee,Bengaluru (India),Yes,Neutral,Yes,,Less than a year,Awesome place to work and learn skills.,Job stability is not there.,
"""Yahoo Europe""",5.0,4.0,5.0,5.0,5.0,4.0," Oct 8, 2015",Past,Head of Sales,Barcelona (Spain),No,No,Neutral,Full-time,,"smart company, good product, nice working enviroment","struggle against competitors, too many CEO´s in last 6 years",
"""Yahooooo'ed""",5.0,4.0,4.0,2.0,5.0,4.0," Oct 2, 2015",Past,Anonymous Employee,,Yes,Yes,Neutral,,More than a year,Excellent working environment and great place to showcase ideas,Way behind in digital innovation and development,
"""Jack of all trades, master of none""",3.0,4.0,3.0,4.0,3.0,4.0," Oct 11, 2015",Current,Account Manager,"London, England (UK)",Neutral,Neutral,Neutral,,Less than a year,"Yahoo employ some of the best people in the industry. You will learn a lot from your colleagues and co-workers in your team and others.<br>When Yahoo believe in a project, they will put the appropriate resources behind it.<br>Excellent package from low-high level. Free breakfast, lunch and dinner (dinner at HQ only).",Very high attrition. Lack of direction behind one particular product. Nobody will ever understand exactly what your company does when you say you work at Yahoo.,"Alter the QPR process. It's damaging for team morale, especially when managers are forced to down-rate their reports."
"""General""",3.0,3.0,4.0,3.0,4.0,3.0," Oct 13, 2015",Past,Human Resources Manager,Hong Kong (Hong Kong),No,Neutral,Neutral,Full-time,More than 3 years,I love the culture in the office,I had 4 different managers within a year,
"""Aimless, Full of Politics""",2.0,3.0,2.0,3.0,3.0,2.0," Sep 29, 2015",Past,Anonymous Employee,,Yes,Neutral,Neutral,,Less than a year,"It was widely used and you could create and shape products that helped many people. The office environment was nice. Fancy standing desks, etc. Travel was reasonable, and comfortable. The perks have only improved since I left.","Uncertainty over direction, changes in management, frequent layoffs, office politics. Lack of coordination and waste of resources. Some of these things began to be looked at after I left.","Continue to drive effective and efficient organisational structure, and innovation led from the ground up. Clarify direction. Watch for time and resource wasting political infighting."
"""Great work environment""",4.0,5.0,3.0,3.0,4.0,3.0," Aug 30, 2015",Past,Anonymous Employee,Barcelona (Spain),Yes,Neutral,Neutral,Full-time,More than 3 years,"Great work atmosphere. Good office administration and great dispositions from admins to help in any needs the staff had.<br>Good perks such as free food or medical insurance, among others.","Big differences between senior and not so senior staff<br>Terrible differences between contractors and Yahoo employees. Although contractors worked as hard as the rest, they did not have any of the benefits (medical, life insurance, stock options, etc).",
"""Yahoo Internship""",5.0,5.0,5.0,3.0,4.0,2.0," Aug 26, 2015",Current,Information Intern,Madrid (Spain),Yes,Yes,Neutral,,More than a year,"Professional and joyful team, with young and proactive people. A lot of creativity and a company with a strong innovation mind.","Lot of pressure at work, specially when talking about statistics of the website. Not much relationship with the leadership.",
"""Tech Lead""",4.0,3.0,5.0,5.0,3.0,4.0," Aug 24, 2015",Current,Anonymous Employee,Bengaluru (India),Yes,Neutral,Neutral,Full-time,More than 5 years,- Good Working culture<br>- Nice Challenges to work on,- QPR can be too hectic,
"""Great Company, Bad Management""",2.0,4.0,1.0,1.0,3.0,1.0," Sep 9, 2015",Past,Advertising Technology Engineer,Sydney (Australia),No,No,Yes,Full-time,More than 5 years,"Good perks - staff functions, activities, corporate mobile, health fund reimbursement<br>, flexible working hours, benefits, and Good office locations.","No rewards or recognition for good hard work. Promotions only result in a small pay increase (6%) in my experience which means that good employees often leave as they can earn significantly more elsewhere. BAD and manipulative direct manager, lack of accountability when things go wrong,",Ensure that 'good staff' who work their way up are rewarded accordingly. Get rid of those toxic manager and new upper management. Get the Yahoo fun culture back in place.
"""Yahoo London""",3.0,2.0,3.0,1.0,4.0,2.0," Sep 6, 2015",Past,Anonymous Employee,"London, England (UK)",No,No,Neutral,Full-time,More than 5 years,"Great location, some interesting tech, great London engineering team",London engineering team all made redundant<br>Free food was awful.,Stop the politics<br>Stop stack ranking and QPRs. The do not foster collaboration.
"""Overall good""",3.0,4.0,4.0,2.0,4.0,3.0," Sep 7, 2015",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than 3 years,"Laid-back, autonomous-style environment.<br><br>Good compensation and benefits.<br><br>Work/life balance respected.",Difficult to advance.<br><br>Analysis/paralaysis can stall projects,
"""Fun place to work with great perks""",4.0,4.0,4.0,4.0,3.0,3.0," Aug 17, 2015",Past,Partner Manager,Sydney (Australia),Yes,Neutral,Neutral,Full-time,More than a year,Great perks and a really fun culture. Great CEO who ensures the entire company understands the company strategy and direction. Office is located on the pier and is a beautiful location to be every day!,Good hard work isn't reflected in salary. Promotions only result in a small pay increase in my experience which means that good employees often leave as they can earn significantly more elsewhere.,Ensure that staff who work their way up are rewarded accordingly. It costs more to hire new staff than to retain existing great staff!
"""BEST FOR FRESERS IN MECHANICAL FIELD""",4.0,1.0,3.0,4.0,3.0,4.0," Aug 19, 2015",Current,CAD Engineer,Hyderabad (India),Yes,Yes,Neutral,Full-time,,Friendly and Creative environment.....<br>Platform to show your capabilities......,Working time is more( It may be a advantage also)..... For around 12 Hrs per day(Min).,
"""engineer""",4.0,,,,,," Aug 10, 2015",Past,Anonymous Employee,,Yes,Neutral,Yes,,More than a year,- vast knowledge base-talented people and resource with experience the field of work.<br>- genuine and market established products you get to work on.,- oh! management focus on technology and beat activism.<br>- be logical on merger and acquisitions. you have money use it wisely.,"don't scratch the surface, bring back search and take bold decision to own it. your products need search to make money. thats the only platform you have to gain.other platform you can depend on partners."
"""Yahoo London""",4.0,3.0,2.0,3.0,4.0,3.0," Aug 12, 2015",Past,Senior Account Manager,"London, England (UK)",No,Neutral,Neutral,Full-time,More than 3 years,-global offices<br>-high work standards<br>-talented staff,"-constant performance reviews (1 per quarter)<br>-depending on the team you are in, can feel cliquey and hard to fit in<br>-can't work from home, not allowed",
"""Mixed feelings""",3.0,4.0,1.0,3.0,5.0,2.0," Aug 20, 2015",Past,Anonymous Employee,"London, England (UK)",No,No,Yes,Full-time,More than 3 years,"The company is very premium so all the staff have access to the latest technology to work, including great laptops and smartphones. They are also very transparent with global live streaming of the CEO's updates every week and the benefits are great (including free breakfast and free lunch every day)","There is no international strategy whatsover, so outside the US is a big mess, with people being hired and fired all the time. You can be there for 15 years or 3 months and you can be fired just like that, there is no security. The QPR process is also extremely though and unfair and if you get too bad results in one year you are automatically fired. The communication outside the US is extremely bad.",International matters and employees are not only numbers
"""Should invest more in its people""",3.0,5.0,5.0,3.0,1.0,2.0," Aug 21, 2015",Past,Anonymous Employee,Sydney (Australia),Yes,Yes,Yes,Full-time,More than 3 years,People constantly challenging the norm and coming up with new ideas. Partnership with some of the coolest platforms.,Salary is peanuts as Yahoo is a media company with a Channel 7 partnership in ANZ.,Learn to nurture people.
"""Good and amazing place to work""",3.0,3.0,3.0,3.0,3.0,3.0," Aug 25, 2015",Past,Software Engineer,"São Paulo, São Paulo (Brazil)",Yes,Neutral,Neutral,Full-time,,A fun place with excelent and amazing people!,"No cons, the company and the place was amazing!!!",Keep going to move forward! never stop! The future is one step ahead of us.
"""Good work environment""",3.0,4.0,4.0,2.0,1.0,3.0," Aug 25, 2015",Current,Anonymous Employee,Bengaluru (India),Yes,No,Neutral,Full-time,More than 5 years,Love the work culture.<br>Flexibility with assignments,Salary could be slightly better<br>Haven't had a good raise in spite of working hard,
"""Worth trying but difficult to stay long""",3.0,3.0,5.0,2.0,4.0,3.0," Aug 22, 2015",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,"Great Benefit package, Bottom-up culture, Nice working environment, great job exposure","Low salary incremental, career prospective is getting worse, Compulsory use of Company products which have lots of problems",
"""Yahoo""",4.0,4.0,5.0,4.0,3.0,4.0," Aug 4, 2015",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"core technical work, flexible working hours",short term strict goals which puts employee under pressure,
"""Yahoooo""",4.0,4.0,3.0,4.0,4.0,3.0," Aug 3, 2015",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,More than a year,"Great package --- payment, benefits, work life balance, support from the team and manager. Lots of energy felt at work to engage many great products. Data driven company, and I had chance to come up with many innovative ideas and got praised by a lot of colleagues.",No steady career advancement opportunities. Need to wait for the opportune time.,"Heads up to competition, close down unwanted products."
"""Sales manager""",4.0,4.0,3.0,3.0,4.0,4.0," Aug 3, 2015",Past,Anonymous Employee,"São Paulo, São Paulo (Brazil)",No,No,Neutral,Full-time,More than 10 years,Great environment and very friendly people. One of the best atmospheres to work. I really had a good time working there!,"Competitors became giants, Yahoo lost its power in the digital market. That was really difiicult specially in the sales field. Hard to sell to clients that prefer Google, Facebook and so on.",
"""software""",3.0,1.0,3.0,3.0,1.0,2.0," Aug 13, 2015",Current,Software Engineer,Tokyo (Japan),No,Neutral,Neutral,,More than 5 years,very environment and good team,"less money, less promote, overtime work",
"""An Icon""",4.0,3.0,4.0,4.0,4.0,3.0," Jul 29, 2015",Current,Anonymous Employee,"London, England (UK)",Yes,Neutral,Neutral,Full-time,,You get to work with some truly passionate people at an iconic company. Everyone knows who you work for. Great benefits.,"Assuming you're not working in sales or business development, you really need to be based in Sunnyvale. Otherwise you're pretty much on the sidelines.",Pull everything back to Sunnyvale. Reduce footprint. Move quickly to find a new growth area/product and implement globally.
"""Worked for 5 years""",4.0,5.0,5.0,3.0,5.0,3.0," Jul 29, 2015",Past,Search Editor,Bengaluru (India),Yes,Yes,Neutral,Full-time,More than 5 years,"great place to work, with all parks and benefits",quarterly review which I found not healthy,
"""Analyst""",4.0,5.0,4.0,1.0,5.0,4.0," Jul 27, 2015",Current,Anonymous Employee,Banglor (Indonesia),No,Neutral,Neutral,Full-time,More than 3 years,Grart worl culture slary transport,No good work no onsite,
"""Communication is key""",5.0,5.0,5.0,5.0,5.0,5.0," Jul 22, 2015",Past,Anonymous Employee,,Yes,Yes,Yes,,More than 3 years,"The management is polite and takes interns seriously while helping them in areas they need and let them problem solve,",The cons I can't evaluate since I was only and intern for a short amount of time,
"""Worth spending a little time here""",4.0,3.0,4.0,4.0,5.0,3.0," Jul 13, 2015",Past,Anonymous Employee,,Yes,Yes,Neutral,,More than 3 years,"Opens a lot of doors in your career, fun, inspirational","So fast moving that after a couple of years, you may start to feel irrelevant.",Try sticking to a strategy for longer than 6 months before panicking and changing track
"""Good culture, no innovation""",3.0,4.0,3.0,2.0,3.0,1.0," Jul 22, 2015",Past,Software Engineer,Sydney (Australia),Yes,No,Neutral,Full-time,More than 5 years,"- Great people, culture and working environment<br>- Good perks - staff functions, activities, corporate mobile, health fund reimbursement etc","- Lack of desire to innovate or do things well<br>- Focus is always on bottom line, best practices and delivering excellent product is eschewed for minimum viable products with no further iterations.",Don't be so adverse to risk. Be willing to trust that the extra time and resources dedicated to delivering a high quality product will result in higher user engagement and revenue long term.
"""Has been. Trying everything to make it happen...""",2.0,1.0,2.0,3.0,3.0,3.0," Jul 20, 2015",Past,Anonymous Employee,Bengaluru (India),No,No,Neutral,Full-time,More than 8 years,Trying hard to make it work<br>Good set of people,Too much attrition<br>No work stability<br>Too much yesteryear culture clashing with new,Not everything that worked at Google can work at Yahoo as is...
"""Yahoo""",5.0,4.0,4.0,4.0,3.0,4.0," Jul 2, 2015",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,More than 8 years,"Energetic team, own responsibilities and shared projects made it fun to work at this company. The atmosphere is very friendly most of the time.","It is not too much to say here, improvements are possible regarding the relation between supervisors and employees and sometimes it took quite long to get things approved which could have only taken one minute actually...",More team events to create a real team spirit. Training should be allocated to individuals wisely to see respective results and do not waste any resources in this matter.
"""Was a great place to work once""",3.0,4.0,3.0,3.0,4.0,1.0," Jul 14, 2015",Past,Principal Engineer,Bengaluru (India),No,No,Neutral,,Less than a year,"Great peers, work environment, great perks like free food, free office shuttle, free smart phone, etc.,","uncertainty, too many frequent layoffs, QPR stress, demoralized teams and engineers",when there is no team to be managed why the management needs advice
"""Global company that doesn't act global""",3.0,4.0,1.0,3.0,4.0,2.0," Jul 8, 2015",Past,Optimization Strategist,"Toronto, ON (Canada)",No,Neutral,Neutral,Full-time,More than a year,Strong salary and job security. Good downtown location and free lunch catered everyday. People don't work late so can easily leave on time most days.,Fells very out of date. Trying to be like Google but failing at it. Working from a remote office you feel out of touch (especially with e-staff). Co-workers aren't overly motivated.,Try and be a better version of Yahoo instead of a poor version of Google. Also needs to show more love to offices outside of Sunnyvale.
"""Specialist - Ad Operations""",4.0,4.0,4.0,2.0,2.0,4.0," Jun 20, 2015",Current,Ad Operations Manager,Bengaluru (India),Yes,Neutral,Yes,Full-time,More than 3 years,One of the best place to work and the wrong culture is amazing and hard to find,Confused management and salary paid is less as compare to the industry standard,
"""Yahoo""",3.0,4.0,4.0,3.0,4.0,2.0," Jul 3, 2015",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Very friendly environment with great team to work with. A Very good place to learn new stuff &amp; face new challenges<br>Overall very good benefits &amp; compensations,"- Queue Performance Rating, is a very complex &amp; restricted performance evaluation system, that was adding pressure and not fair way to evaluate individuals.",
"""Good place to work""",3.0,4.0,4.0,3.0,4.0,2.0," Jul 2, 2015",Past,Anonymous Employee,Bengaluru (India),Yes,Neutral,Neutral,Full-time,More than a year,"Scale, people, interesting ideas.<br><br>It was an excellent time spent there managing really complex programs, the kind of which we rarely get in other places,","The is quite a bit of uncertainty especially working in Yahoo Bangalore, Even though the team is excellent, very talented there senior management seems to have give it a raw deal",Decide on what you would like Yahoo to be. There seems to be confusion on whether they want it to be a tech company or a media company and the focus seems to be wildly swinging
"""The Best Place to work!""",5.0,5.0,5.0,4.0,5.0,4.0," Jun 13, 2015",Current,Senior Service Reliability Engineer,Bengaluru (India),Yes,Yes,Yes,Full-time,,- Amazing Management<br>- Great Perks (Stocks and others)<br>- Standard salary<br>- Great work life balance.,- Lot of proprietary softwares and applications. As a result exposure to open source reduces.<br>- Bad PR for the amazing products.,Keep up the good work.
"""Yahoo""",5.0,5.0,4.0,4.0,4.0,3.0," Jun 11, 2015",Current,Senior Technical Software Engineer,,Yes,Neutral,Yes,Full-time,More than a year,the benefits<br>the scale<br>the people,things need to be more organized and the company need to become a tech company,make things more simple and become more technical
"""Red Tape, no work-life balance""",1.0,3.0,2.0,2.0,3.0,2.0," Jul 16, 2015",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than 3 years,"Free Lunch, free souvenirs","Red tape and messy inside the company structure, not a silicon valley culture company as what others think. Not I.T company but an advertising company only go for advertisement instead of accepting something new. Don't mention work life balance.",please respect people
"""Good Place to Work at""",4.0,5.0,4.0,2.0,2.0,4.0," Jun 8, 2015",Current,Senior Technical Yahoo,Sydney (Australia),Yes,No,Yes,Full-time,More than a year,"Very good work / life balance. Flexible hours and a lot of perks such as free lunches, fitness, corp phone and family day, etc.","Not much to learn after 1 or 2 year in a role and not much space to move up. Technology-wise, very limited to Yahoo-approved range and no more, engineering is requested to do their jobs following the corp guidelines with much less resources or time, which results in low quality products sometimes.","Maybe it is because of the nature of joint venture, executives are super cautious about every move and the company strategy is a bit conservative."
"""Lots of interesting work and able to connect to many organisations across locations.""",3.0,2.0,3.0,3.0,4.0,4.0," Jun 13, 2015",Current,Manager,"London, England (UK)",No,No,Neutral,Full-time,More than 3 years,"Exciting and buzzing ... Love the work, and the fact that we impact users. Good compensation, free food (which is very nice) and phone.",Uncertainty as we never know what comes the next day.,Remove the at time too much uncertainty.
"""Creative Strategy I""",2.0,4.0,1.0,1.0,4.0,1.0," Jun 8, 2015",Current,Anonymous Employee,"São Paulo, São Paulo (Brazil)",No,Neutral,Neutral,Full-time,Less than a year,"Very good Benefits like free food, top health insurance, free parking, free iphone.","Its not the ""cool company"" that you might imagined! Its not okay to do home office, Managers are not prepared, low income and the procedures are not well-structured.",Turn-over very high
"""Good experience""",4.0,3.0,4.0,4.0,4.0,3.0," May 25, 2015",Past,Product Manager,Budapest (Hungary),Yes,Yes,Yes,Full-time,,"I sometimes felt that people got over-obsessed with the quality of the perks over the qualilty of the job. After Marissa took over, Yahoo became a MUCH better place to work.","Political shenanigans are rife. If you don't play the game, you're toast.",Pay more attention to the grunts
"""Yahoo""",5.0,,,,,," May 22, 2015",Current,Anonymous Employee,,No,Neutral,Neutral,,More than a year,"very funny, work is not very hard.",the grant stock is less than others,
"""Nice company""",3.0,3.0,4.0,3.0,3.0,2.0," Jun 5, 2015",Past,Search Marketing,Hong Kong (Hong Kong),No,No,Neutral,Full-time,,Friendly and cozy working culture<br>Comprehensive on board training<br>Nice path for career development,Not easy to get paid increment,
"""Sr Manager""",2.0,3.0,3.0,2.0,3.0,3.0," Jun 1, 2015",Past,Senior Manager,Bengaluru (India),Yes,Neutral,Neutral,Full-time,More than a year,Goo in genral. Has a good Brand Name,Can send you home anyday ! Operations from India are Shrinking,Jump out
"""Web Engineer""",3.0,1.0,5.0,1.0,3.0,1.0," May 29, 2015",Current,Web Engineer,Bengaluru (India),No,No,Neutral,,More than a year,great culture<br>awesome gadgets<br>talented tech people<br>free food.,Poor management<br>Illogical progression strategies<br>Lesser salary per company standards.<br>Talents not being used /channeled in a proper way.,Value your employees as they help you build the brand name that you are.
"""Good place, good people""",4.0,4.0,4.0,5.0,3.0,," May 14, 2015",Past,Anonymous Employee,"London, England (UK)",No,Neutral,Neutral,Full-time,,"The interview was not as hard as other tech companies, but the people at Yahoo! are still pretty bright. I've worked with some very smart, and helpful people. The environment was very collaborative, and there was good team spirit. The ""agile"" practised here is very pragmatic, and each small team gets to choose what process they want to follow for a given quarter. There were no hard rules beyond making the Product/Business aware of how things are coming along. Nice office, good benefits, free lunch, and snacks.","Quarterly Performance Reviews, aka QPRs. While the environment is relaxed, and there isn't too much pressure, the QPRs are hanging over the head every quarter. Despite this, managers do their best to keep the team happy, which is nice. Talent is slowly melting away, as they started to close down international Development teams, including London.",
