Title,date
"<p>-- Yidaichu (Beijing, China), online warehouse operations platform: <a href=""https://www.chinamoneynetwork.com/2018/03/01/dealshot-sequoia-leads-50m-series-c-round-chinese-travel-guide-booking-service-platform-hi-guides"">$32M</a> B led by GLP, participation from Deppon Logistics.</p>",2018-03-01
"<p>-- Yuntongxun (Beijing, China), corporate cloud communications: <a href=""https://www.chinamoneynetwork.com/2018/03/01/dealshot-sequoia-leads-50m-series-c-round-chinese-travel-guide-booking-service-platform-hi-guides"">$30M</a> C led by TBP.</p>",2018-03-01
"<p>-- <a href=""https://peakon.com/"">Peakon</a> (London, UK), employee analytics and engagement platform: <a href=""http://www.finsmes.com/2018/02/peakon-raises-22m-in-series-b-funding.html"">$22M</a> B led by Balderton Capital, participation from EQT, IDInvest, Sunstone.</p>",2018-03-01
"<p>-- <a href=""https://fleetup.com/"">FleetUp</a> (Milpitas,CA), fleet management platform: <a href=""http://www.finsmes.com/2018/02/fleetup-completes-20m-funding-round.html"">$20M</a> led by HUMAX.</p>",2018-03-01
"<p>-- <a href=""https://moltin.com/"">Moltin</a> (Boston, MA), API-based digital commerce solution: <a href=""http://www.finsmes.com/2018/03/moltin-raises-8m-in-series-a-funding.html"">$8M</a> A led by Underscore VC, participation from Connect, Frontline.</p>",2018-03-01
"<p>-- <a href=""https://www.freeagentcrm.com/"">FreeAgent CRM</a> (Saratoga, CA), CRM for small businesses for sales growth: <a href=""http://www.finsmes.com/2018/02/freeagent-crm-raises-5-6m-in-seed-financing.html"">$5.6M</a> Seed from BlueRun Ventures, Ron Wohl, Kevin Haverty. CEO and co-founder <a href=""https://www.linkedin.com/in/drstephens/"">Dave Stephens</a> spent four years as a senior VP at Oracle.</p>",2018-03-01
<p><strong>--Data/Analytics--</strong></p>,2018-03-01
"<p>-- <a href=""https://cloudian.com/"">Cloudian</a> (San Mateo, CA), enterprise data consolidation, management, and protection: <a href=""http://www.finsmes.com/2018/03/cloudian-secures-125m-in-funding.html"">$125M</a> from Digital Alpha, et al.</p>",2018-03-01
"<p>-- <a href=""http://www.virtualitics.com/"">Virtualitics</a> (Pasadena, CA), big data visualization and analytics platform: <a href=""http://www.finsmes.com/2018/02/virtualitics-raises-7m-in-series-b-funding.html"">$7M</a> B led by Centricus, participation from Venture Reality Fund, et al.</p>",2018-03-01
<p><strong>--Consumer Internet--</strong></p>,2018-03-01
